-------------------------------------------------------------------------------------------
User Address 		 : Exorde Testnet v1.3.5b Reputation (REP) as of 27.12.2022 18pm UTC+1 (Fourth iteration)

0x8AcbBC54be5FAF684dAA6425d4E7F5acC4000000 : 432 	: 0.04946 %
0xdAa95d86Bc38d3f4E8A0f465dcA745aaa8B86aad : 430 	: 0.04923 %
0x351B5ee11E985329f59a9258D0d3AdF3109f74E7 : 430 	: 0.04923 %
0xa2F74E53aB7A4b8A66e9d281644e18525396CaA4 : 428 	: 0.049 %
0x51dE95Ed364E72A9174afF2F2138A9Fb9E378A43 : 426 	: 0.04877 %
0x1F58a7352eF7131E741d1d882B56D1aFD8081357 : 426 	: 0.04877 %
0x143284b7b0ab086518ddA5B24cA48D477Df5c0B9 : 424 	: 0.04854 %
0xC4D9a69468943d2d3D0F1Fe2D08d38aB16e4066e : 424 	: 0.04854 %
0x1f70a6D6F92F61ead83c5a08D3DAb3523EBdf82d : 422 	: 0.04832 %
0x9364313577d1690cb81010f1903cB66Df604c291 : 420 	: 0.04809 %
0x5564abC968D641d158100Df4770B147208461633 : 418 	: 0.04786 %
