-------------------------------------------------------------------------------------------
User Address 		 : Exorde Testnet v1.3.4.3b Reputation (REP) as of 05.12.2022 (Third iteration)

0x70d91DCCa5f395172E03f79a5d7beD65d084Cc46 : 35663 	: 0.038 %
0x80bE97A5580061a647bb04ADaeb8d18fe963ae55 : 35488 	: 0.038 %
0xE975038C9F5adaa771562C06D11304BE47628eBA : 35381 	: 0.038 %
0x3f0C8E4D932917e713a19007eD5B5915e6B024D0 : 35316 	: 0.038 %
0xcdeaAFfEF75cb36677BA2d003c0d1FFd942fd800 : 35156 	: 0.037 %
0x9fA5c042903995E097b2df0e17155997c741e438 : 34942 	: 0.037 %
0x8fE58c49c767702D20396Fe8858a0FaB084D8043 : 34839 	: 0.037 %
0xb1c8ffd1a69973dE9709124748524b56E86f6E61 : 34578 	: 0.037 %
0x6d1FE8bD8372FEff4B2C9E831B52e077b3Ca99ea : 34456 	: 0.037 %
0x3438A0D91bEC85E01e05Cb80BecC02728C8B31ea : 34455 	: 0.037 %
0x2d5Cf9B489C88761B76dEdcA6Ca3b651CDA5fc75 : 34437 	: 0.037 %
0x05ed4ed982e9d784D338A7aea780606434d1338d : 34379 	: 0.037 %
0x4e8A2c49F2EBe399589Fd1D5F78475C807A9fea1 : 34328 	: 0.037 %
0x4E23C6a6F9da9712654A7528959b0839e8799A52 : 34143 	: 0.036 %
0x139a5D0417b79DA2e8FCAC92889012a35AD771D4 : 34136 	: 0.036 %
0x5e51f3248CE714b7E1d2CC1946461CCB71fA1C4F : 33953 	: 0.036 %
0xDDba2074fE0949B0DF4d9627B0551fB8EA769bcF : 33828 	: 0.036 %
0x40b9f84b6Ba73b29731E0EAD66eEc980379fB3AA : 33789 	: 0.036 %
0x0F67059ea5c125104E46B46769184dB6DC405C42 : 33719 	: 0.036 %
0xE168954465AA325DAdD8510701D56a460859b31a : 33565 	: 0.036 %
0x06eeB72E89aafF845922862891aC9f21Df3Ce32f : 33415 	: 0.036 %
0x2f2FDeEC16f6F82f6E7eCABa13aD5ff8b8EC920c : 33354 	: 0.036 %
0xffF43d5173D5902C3f25495DF374d2e6FfC84665 : 33106 	: 0.035 %
0x337ec4F2C158190b7510749aC02488B6fB1E4198 : 33104 	: 0.035 %
0x0E408CEfB07046F1f0031f869E12496ac7D597c8 : 32858 	: 0.035 %
0xbd9F0f00Cc1444008FAE822FDb4918252FDb9e06 : 32531 	: 0.035 %
