-------------------------------------------------------------------------------------------
User Address 		 : Exorde Testnet v1.3.3 (Endend before Late November Migration) Reputation (REP) as of 05.12.2022 (Second iteration)

0xbEa04d6afaD0A2eCF892D7a89a83e03e2f94745d : 837 	: 0.038 %
0xd588Ee9ECD190c8664a04a331374E58312A8E625 : 837 	: 0.038 %
0x75893d08054eff8127ab6D29BfB98C283EE480e5 : 835 	: 0.038 %
0xFf8773C8310F2e0Ca8A7E911152Ee9BaDaC3C877 : 834 	: 0.038 %
0x21dF72e8631c3c1a44f574815623aC5b0642459B : 833 	: 0.038 %
0xE86bfFFB38df311A9C9156F478ce8e0b8252969d : 833 	: 0.038 %
0xC3D12a61c0Dec3c453017405cCFf7182f44bA41A : 832 	: 0.038 %
0x19AcBA6F804fB743782b853DbB890f3b5a9e11A0 : 829 	: 0.038 %
0xEf5Ec78828f5001b68b1C3BaFD613230091e3890 : 828 	: 0.037 %
0xdE59Fbc0731D13F7D585f969112027a7a890CCc7 : 825 	: 0.037 %
0xa4e43be772270b7583Fa94d7E46c4552f466e9D3 : 824 	: 0.037 %
0xf646Ce6Fa7F56785EB440d7cf7134311D0F0fb16 : 823 	: 0.037 %
0xCCD55BD2FEC878DcD749C166e55E42bF41A17d1b : 822 	: 0.037 %
0x4209cd9a9cDFaac01231Fc27920CB14D01FB4564 : 822 	: 0.037 %
0x6D951A365CD0dF0B3e9018EDAADedb52A0a88a21 : 816 	: 0.037 %
0xe7c2bC18AA6A289590487138dc96F9DA971B952D : 812 	: 0.037 %
0x2E63BC3C00dc8e6b569a104Ff058dDC44c5974Ba : 808 	: 0.037 %
0xCe44755c5cc0af3756e2cd7a9707BFF8a1C72231 : 805 	: 0.036 %
0x78e507aAf44f20C93923fe3c5c5e36C6f5d99CfA : 799 	: 0.036 %
0x59dbaD9b3603d7d05298831b55d5C54584248a93 : 797 	: 0.036 %
0xF32fBcF957dEBEe213E89B7d58b1238BfEd52776 : 796 	: 0.036 %
0x43beC80A4C58E103dbc026507aD9ef5ab93C27e8 : 796 	: 0.036 %
0xe4BB0675e1D4196094260310F98f6D7C1e138B84 : 794 	: 0.036 %
0xC458b1E115F10a203720F215363Be2b49d586496 : 794 	: 0.036 %
0x44683d6A8E70A7Ea547d08bc5EDB17dDc0FB304A : 791 	: 0.036 %
0x6d1AfE57141Eaf3e99D0A49e6563409BafF240d0 : 786 	: 0.036 %
0x14386a66c2aFfa5073D2E48b8241910317699B77 : 785 	: 0.036 %
0x5e51f3248CE714b7E1d2CC1946461CCB71fA1C4F : 782 	: 0.035 %
0xc6435E1e964B42144C72a8a53d1B9294CF6cdBA9 : 779 	: 0.035 %
0xac8F3E9E6778567701d2F2F989b036cB46c9B7F2 : 778 	: 0.035 %
0xb3450F07576De70a2AB6e276ed8FB4b555D8B017 : 777 	: 0.035 %
0x9d05F2b88028fFCDaCabE85ef218D0d436E5a422 : 777 	: 0.035 %
0x76b4F563123187EaCf6467B42F4F27E96BaE2968 : 775 	: 0.035 %
0x15C666b6D18235de45101B3a3A1D9d7D6c0D68c4 : 775 	: 0.035 %
0x839158B85A3C341B647A40CF73856e9262fB7a30 : 774 	: 0.035 %
0x81c7a20294AaeEdfea6c0A560Ee419F4325d9ef5 : 774 	: 0.035 %
0xad5Dd7C52435afE42a6A0f1491297D1F98d249Ed : 772 	: 0.035 %
0xA5fbCfb8d7AD47AeA93B2a011dbe3f1151eA60A8 : 771 	: 0.035 %
0x59b1C6553B78088E6a9F4cdE3cD5Ca23Ec7f97B1 : 770 	: 0.035 %
0x2bEee7006D0F522dfb4972caA3ea89Aa03aEc32f : 769 	: 0.035 %
0xF597B15ffD86fe3E7c6c35f55Be17580D6e3E290 : 769 	: 0.035 %
0x6E89A9Ea4d3A1cB5937BDDE89740E35075DBF4F8 : 768 	: 0.035 %
0x4DfBeafc9522f817323446681abA2dB7D5ce4F15 : 768 	: 0.035 %
0x4E20992066b8f3E538446ad65c73C0AEB8fE340E : 766 	: 0.035 %
0xF6064C1cdd38166E7771B7bF3843f7A8d6a47fA2 : 763 	: 0.035 %
0xD928aF370679b6f40354A342a12b72215F18A7d7 : 759 	: 0.034 %
0x21FD2f778Cf406D2c3450944291B05bdE3de26B7 : 758 	: 0.034 %
0x755a011973B38d28d89c414EE98860A1dC4E45Af : 757 	: 0.034 %
0xd2D24320615e377DB93A23d53290f9C3Ac9545f4 : 757 	: 0.034 %
0xD4319474d659F5121b3268C19E2b9780dB76aD1E : 753 	: 0.034 %
0xB1c90F0AD3f1a39FC65260Ca71F5B53DA409D89e : 752 	: 0.034 %
0x614cB7e7dec4B3f1190E46Fa24de5516e8fe5BE5 : 741 	: 0.034 %
0xCD1211D1f1Df22A37918f9F4b31fD80993540918 : 740 	: 0.034 %
0x447A8864a77bc1fDC872337FeDE0fAEcC9aA63e2 : 738 	: 0.033 %
0xD6c510878ec903E8AD5a12A709915E2A47BA1eCB : 737 	: 0.033 %
0xCC5f860A54272A8EbE10bb24AB692c8f594800aD : 737 	: 0.033 %
0x62935cFB5977700ad3bB7c82aED76c497Ea70108 : 736 	: 0.033 %
0x700a023F22C4a4fBFDEEd3d00B951Ef8eA932bE1 : 736 	: 0.033 %
0xb01328AB049a46C5883CcBB3C7a20CDB76572B44 : 732 	: 0.033 %
0x32B0F4B46e3de39EBcb27cF78f9b824d7fa59196 : 731 	: 0.033 %
0x2a2266C63728eA2115a89B07907Bc140c35c3d77 : 730 	: 0.033 %
0x7d4F49bEa5dEAC1D3C104ef8790B82a5e8030239 : 730 	: 0.033 %
0x6f3c85d8A72EF5eE5eB1847783F173503391C80c : 726 	: 0.033 %
0x069841beBec2a241EE45a3E2Ab8185aAE11D04F6 : 726 	: 0.033 %
0xFC3a4e5c9Ece10a0b95f9c064B204b8Decb865ca : 726 	: 0.033 %
0x8dDbf9710825ab3c281072A5E0A9ED5516DEA09d : 724 	: 0.033 %
0x8d0f9dD731954532c62d378b3b6311769ae9c261 : 724 	: 0.033 %
0x4aCD20F3eB51990Ed08DAf445De9C429590f007C : 723 	: 0.033 %
0x85aa80666fE6e3D0314df0798bf9378cab55ae2e : 723 	: 0.033 %
0x1f34Aa0eede1c84f28aC74534264092b6b2f66B8 : 722 	: 0.033 %
0x3820Fe78EfABF4C5D5306c0efFcA8c87EB2474eB : 721 	: 0.033 %
0xF50B5BDa78cC8DeF560B0C89b903C26Fd7Be8965 : 716 	: 0.032 %
0x6C9353258aC9B489A91c9d9f0061aE87E5E3276c : 714 	: 0.032 %
0x29A81cabae809aED070416d5AAf512de0c7Dd36A : 713 	: 0.032 %
0x4b0E7f2b266beF4936Ed9219D22524318BdEf3b7 : 713 	: 0.032 %
0x5c9EDEf909704b7473DC76876B915Df97c0b3a33 : 706 	: 0.032 %
0x445704972E5332d794A1770dfA704F4E73f637E6 : 705 	: 0.032 %
0x8Ce3E245Bae06f6E62F3eAa630931fCee2850b4c : 705 	: 0.032 %
0xDb1a1f4508434502D0a1Dc6e7C400a84987bc827 : 704 	: 0.032 %
0x4E86Ca00b7d93803943C98715bB67eEdE5A6baC7 : 703 	: 0.032 %
0x57D3Ca64F4745B1936E34B3296238246895AECf3 : 702 	: 0.032 %
0xf49785fDd52A7BC4DFeb961726dcEb669faD38EC : 702 	: 0.032 %
0x38C30CaC69942c037467342bf2e79469893d6A10 : 701 	: 0.032 %
0xDd5c493f7CE31839598B60b3Abe5F5e587632d84 : 701 	: 0.032 %
0x3E111fF19dB2fAA34d5A9beF5620884Fd6ee97cB : 701 	: 0.032 %
0x73293e300631236dd48d521A4aA388fb8F04a17A : 701 	: 0.032 %
0xe505054EA0C259dc285842Ed65da7A2AFa27b4Ad : 698 	: 0.032 %
